RAmdeg,DEmdeg,BTmag,VTmag,HIP
37.30700688,23.46902317,6.385,6.198,11578
39.25217631,24.64721824,6.93,6.503,12189
37.63480945,25.23502935,6.369,5.928,11670
36.78015751,27.01239569,8.059,6.283,11415
,,3.487,2.125,9884
30.38907965,23.39545333,6.974,6.632,9452
33.15641032,24.16777761,7.769,6.111,10296
31.62601636,24.33399173,7.68,6.961,9829
29.48215334,23.59606343,5.114,4.802,9153
29.49043695,23.60311101,7.13,6.647,
31.70514596,25.70455316,5.985,6.008,9859
30.91393864,25.93549256,6.363,5.823,9621
33.92823939,25.04303817,6.178,5.637,10535
33.94187511,25.78293636,6.308,5.84,10540
32.80023167,25.9369403,7.799,6.158,10203
32.35555726,25.9398814,5.385,5.019,10053
34.73747496,28.64267444,5.316,5.293,10793
34.48887343,29.00724626,8.908,6.881,10714
33.65825438,28.69118064,7.573,6.46,10446
44.5217564,20.66873293,6.284,5.836,13834
44.80296185,21.34030518,5.227,5.169,13914
44.80296185,21.34030518,5.617,5.566,13914
44.72121291,21.61773267,6.985,6.755,13892
48.57147763,22.95376462,8.15,6.884,15072
46.36120692,25.2551679,5.433,5.465,14376
47.61269117,26.89623326,7.672,6.166,14748
40.96351448,25.63834357,6.492,6.399,12744
42.19127718,25.18806457,5.852,5.887,13121
45.47558955,26.46235345,6.094,5.929,14109
45.60844172,26.60924118,7.491,6.704,14150
42.49597556,27.26050911,3.478,3.579,13209
43.84172011,27.72237892,6.8,6.842,13609
45.87565208,28.26991881,6.725,6.402,14232
50.10656368,25.66274486,7.747,6.268,15557
52.83287747,27.57178687,7.035,6.93,16410
52.83648253,27.57181249,6.61,6.575,16411
49.98248237,27.07113178,6.986,6.013,15514
48.05935655,27.25696789,5.652,5.754,14893
50.54955803,27.60754985,6.973,5.662,15696
51.64746353,28.71509175,7.603,6.595,16042
50.08483464,29.0484644,6.527,4.639,15549
54.16592886,29.22402746,6.836,6.557,16835
53.75501159,32.01677981,7.159,6.713,16713
47.53683259,27.8197652,6.436,6.414,14719
47.40309279,29.07708462,5.876,5.755,14677
48.83515561,30.55668252,5.619,5.603,15154
49.4168612,31.12704896,7.081,6.464,15323
52.08624126,33.8075555,5.769,5.721,16168
49.14663201,32.18401657,7.231,6.102,15241
48.9464247,32.8567143,6.703,6.345,15191
51.12376229,33.53594792,5.784,5.802,15876
51.75960429,34.42949859,8.089,6.86,16075
49.6826104,34.22265255,6.742,4.993,15416
40.17114703,27.06094247,5.401,5.307,12489
40.86298401,27.70715021,4.482,4.624,12719
41.97725417,29.2471177,5.939,4.639,13061
44.06652313,29.16407044,7.742,6.651,13684
40.50311433,30.93578029,8.13,6.928,12600
42.50139844,30.52620306,7.169,6.777,13210
42.60846471,31.97288813,6.605,6.582,13241
37.0415862,29.66933261,5.641,5.323,11486
37.20206054,29.93176099,6.602,5.968,11548
35.01857827,30.18808841,8.093,6.64,10884
36.86571743,31.8012796,6.982,5.676,11432
39.17930536,31.60766637,7.407,6.191,12160
39.27737562,32.89109332,6.806,6.282,12200
38.55915354,33.79280713,8.33,6.84,11956
38.94507757,34.68755609,7.511,5.571,12086
38.95885001,34.72533396,6.945,6.749,12091
44.3220073,31.93421934,5.083,5.091,13775
45.37112627,32.4127303,8.158,6.959,14081
43.35155565,31.64469092,7.228,6.664,13464
44.57821883,32.46087187,7.901,6.719,13851
44.76532082,35.18312749,6.533,5.073,13905
49.00775943,34.68851237,6.569,6.264,15204
46.39783732,36.79872544,7.213,6.994,14387
42.87848766,35.05974318,6.599,4.735,13328
42.72008529,35.39390974,8.461,6.669,13275
41.76488782,35.55466842,6.764,6.42,12990
41.74301266,35.98352432,7.474,6.375,12982
42.64704351,36.94832739,7.182,6.501,13257
42.36213517,37.32641882,6.95,6.498,13176
45.04956439,38.13174323,6.042,6.1,13997
46.03919407,38.07949856,6.844,6.855,14287
45.47164364,38.87823538,6.914,6.663,14107
46.29413731,38.84027493,5.372,3.539,14354
43.42756675,38.33748295,5.818,5.391,13490
44.50969433,38.61492294,7.898,6.194,13832
42.64608807,38.31865113,4.635,4.253,13254
44.69029797,39.66272904,4.765,4.69,13879
44.91616583,41.03294309,7.78,6.047,13949
68.68934223,22.69231047,7.346,6.821,21341
65.88486391,20.98204292,6.021,5.989,20493
67.00326637,21.61990071,6.045,5.745,20842
66.35423433,22.20000213,5.56,5.294,20641
66.34236228,22.29387398,4.38,4.215,20635
66.57693588,22.81357951,4.599,4.303,20711
66.82270096,22.9963333,5.389,5.498,20789
70.56125872,22.95694022,4.11,4.239,21881
70.97500673,22.94441458,6.924,6.916,22013
69.12140098,23.34085682,6.474,6.055,21459
70.80731923,24.0889169,6.782,6.212,21961
71.42694665,23.62799874,6.406,6.337,22128
69.84645117,25.21827311,6.407,6.226,21689
65.99901447,24.30099889,6.542,6.359,20533
63.61009594,23.69643269,8.251,6.911,19785
65.64559588,25.62931476,5.339,5.372,20430
67.33264163,27.40422663,6.515,6.543,20933
65.08839863,27.35075106,6.424,5.079,20250
67.58357267,28.13188881,7.394,6.596,21010
74.97396134,27.32560291,7.097,6.976,23228
73.19632141,27.89748459,6.398,6.005,22697
76.15818748,27.69602372,6.91,6.638,23614
77.43206712,29.79863705,7.29,6.721,24016
77.90964183,29.90358067,8.714,6.639,24193
77.86479063,30.80533296,8.136,6.747,24172
77.64573,30.79753945,8.761,6.875,24100
76.06068261,30.49458333,7.678,6.292,23583
76.15380388,32.32027227,6.933,6.622,23611
70.33233795,28.61499213,5.743,5.73,21819
72.07947828,29.23572898,7.408,6.953,22309
68.65829348,28.96114832,5.813,5.869,21323
70.09452655,29.97221945,7.22,6.827,21760
73.04395775,31.16417249,7.823,6.814,22633
72.3035256,31.43737216,7.041,5.705,22393
74.24840612,33.16608905,4.666,2.83,23015
72.32948786,32.58818734,6.144,5.857,22407
70.95102143,32.86547962,6.836,6.529,22003
62.70775126,26.4809523,5.78,5.427,19513
61.6517163,27.59990174,5.011,5.151,19171
61.75189871,29.00130375,5.609,5.245,19205
65.04144838,31.95317599,8.428,6.38,20231
58.84615809,31.04584447,6.874,6.789,18350
58.01852433,31.16858229,6.464,6.239,18094
58.53300785,31.88363844,2.955,2.858,18246
62.41190127,31.65212986,7.535,6.946,19428
63.24351203,32.53272671,8.969,6.894,19679
62.7459144,33.58677879,7.586,5.89,19525
61.17945476,32.57120204,6.867,6.869,19039
61.73260121,33.44635475,6.823,6.856,19201
61.40022823,34.23916248,7.164,6.691,19089
67.21663131,30.36149042,7.004,6.443,20904
66.52628957,31.43891786,6.53,5.393,20704
67.66002969,32.45777506,6.133,6.164,21038
66.15607036,33.95970775,6.255,5.841,20591
66.12148245,34.13075838,5.644,5.708,20579
72.87268095,35.81514179,7.617,6.842,22576
69.15805847,36.95279413,8.253,6.765,21468
70.45940218,38.28017879,6.679,6.034,21847
65.10266258,34.56672423,6.108,5.033,20252
63.71695482,37.54267163,7.52,6.414,19810
67.98727568,36.74268992,7.734,6.464,21144
68.07188239,37.04324398,7.346,6.832,21167
66.82618627,36.5202853,8.135,6.892,20791
67.85041526,40.01018118,6.782,6.781,21108
78.66431539,31.40192853,7.923,6.741,24447
78.8516452,32.68759618,5.267,5.028,24504
79.54403863,33.3716069,6.176,4.689,24727
79.75012264,33.74839593,5.154,5.343,24799
80.00384454,33.95805774,5.368,5.075,24879
79.57874602,33.76735934,6.094,6.137,24740
79.84893543,33.98540649,6.785,6.52,24832
79.07562112,34.31231789,6.237,6.025,24575
81.71367628,33.26226367,7.662,6.288,25475
82.00390531,33.76370983,6.985,6.466,25580
81.91202131,34.47589104,6.903,5.222,25541
82.11001905,34.69746576,7.808,6.678,25624
81.37499173,34.18635493,7.451,6.755,25363
81.7033518,34.39181379,6.081,5.924,25471
81.30390727,34.85503679,8.0,6.651,25343
81.72632231,35.45727619,8.058,6.321,25476
83.40922824,34.72557593,6.479,6.284,26071
82.43182806,35.1087482,8.214,6.987,25735
82.42769729,35.37501942,7.076,6.916,25733
81.18666985,36.19993831,8.661,6.662,25301
80.96360453,36.39840615,7.958,6.941,25238
81.16308805,37.38534706,6.885,5.164,25292
76.50384002,35.93639809,6.723,6.525,23724
74.08369516,36.16853424,6.492,6.13,22955
78.45523146,37.03267046,6.877,6.865,24379
78.32269025,37.33731141,7.102,6.53,24332
77.57836832,37.3018491,6.943,6.78,24072
77.57836832,37.3018491,9.241,6.957,24072
80.17950084,37.43867504,6.795,6.798,24957
78.35716405,38.48449266,5.065,4.847,24340
,,5.438,4.761,24813
79.66802513,40.4651226,8.02,6.36,24771
78.06236807,40.10156407,7.004,6.976,24239
84.90333491,37.98888907,6.966,6.963,26632
82.68784296,39.82591584,7.627,6.486,25810
84.21840411,40.18238094,7.345,6.192,26363
